"episodes_episode_description","episodes_scenes_characters_married_to","episodes_scenes_characters_sex_type","episodes_episode_air_date","episodes_scenes_characters_title","episodes_scenes_characters_married_type","episodes_scenes_characters_name","episodes_season_num","episodes_scenes_characters_weapon_action","episodes_episode_num","episodes_scenes_alt_location","episodes_opening_sequence_locations","episodes_scenes_scene_start","episodes_scenes_characters_sex_with","episodes_scenes_sub_location","episodes_scenes_characters_married_when","episodes_scenes_characters_manner_of_death","episodes_scenes_characters_killed_by","episodes_episode_title","episodes_scenes_characters_weapon_name","episodes_scenes_characters_sex_when","episodes_scenes_location","episodes_episode_link","episodes_scenes_scene_end"
NULL,NULL,NULL,NULL,NULL,NULL,"Tormund Giantsbane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Sandor Clegane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Beric Dondarrion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Drogon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"The Night King",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"White Walker",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Benjen Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Benjen Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Benjen Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Sandor Clegane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Beric Dondarrion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Tormund Giantsbane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rhaegal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Rhaegal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Drogon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jorah Mormont",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Davos Seaworth",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Sansa Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Sansa Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Arya Stark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Daenerys Targaryen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"White Walker",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Viserion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"White Walker",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"Viserion",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,"The Night King",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Season finale of the epic series.","Rhaegar Targaryen","love","2017-08-27","Hand","love","Grey Worm",7,"has",7,NULL,"King's Landing","0:04:36","Daenerys Targaryen","King's Landing","present","Beaten","Theon Greyjoy","The Dragon and the Wolf","Widow's Wail","present","The Crownlands","/title/tt5775874/","0:04:56"
NULL,"Lyanna Stark","love",NULL,"Hand","love","Jaime Lannister",NULL,"has",NULL,NULL,"Dragonstone","0:04:56","Jon Snow","King's Landing","present","Throat slash","Arya Stark",NULL,"Widow's Wail","present","The Crownlands",NULL,"0:05:04"
NULL,NULL,NULL,NULL,"King",NULL,"Bronn",NULL,"has",NULL,NULL,"Winterfell","0:05:04",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:05:08"
NULL,NULL,NULL,NULL,"King",NULL,"Bronn",NULL,"has",NULL,NULL,"The Wall","0:05:08",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:05:13"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jaime Lannister",NULL,"has",NULL,NULL,"Eastwatch","0:05:13",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:05:20"
NULL,NULL,NULL,NULL,"Hand",NULL,"Bronn",NULL,"has",NULL,NULL,"Oldtown","0:05:20",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:05:31"
NULL,NULL,NULL,NULL,"King",NULL,"Jaime Lannister",NULL,"has",NULL,NULL,NULL,"0:05:31",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:05:50"
NULL,NULL,NULL,NULL,"Hand",NULL,"Bronn",NULL,"has",NULL,NULL,NULL,"0:05:50",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:06:42"
NULL,NULL,NULL,NULL,"King",NULL,"Jaime Lannister",NULL,"has",NULL,NULL,NULL,"0:06:42",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:06:52"
NULL,NULL,NULL,NULL,"Hand",NULL,"Bronn",NULL,"has",NULL,NULL,NULL,"0:06:52",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:06:54"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jaime Lannister",NULL,"has",NULL,NULL,NULL,"0:06:54",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:07:02"
NULL,NULL,NULL,NULL,"King",NULL,"Bronn",NULL,"has",NULL,NULL,NULL,"0:07:02",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:07:04"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"0:07:04",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:07:15"
NULL,NULL,NULL,NULL,"King",NULL,"Lord Varys",NULL,"has",NULL,NULL,NULL,"0:07:15",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:07:26"
NULL,NULL,NULL,NULL,"Hand",NULL,"Theon Greyjoy",NULL,"has",NULL,NULL,NULL,"0:07:26",NULL,"Blackwater Bay",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:07:36"
NULL,NULL,NULL,NULL,"King",NULL,"Qhono",NULL,"has",NULL,NULL,NULL,"0:07:36",NULL,"Blackwater Bay",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:07:44"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"0:07:44",NULL,"Blackwater Bay",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:08:08"
NULL,NULL,NULL,NULL,"King",NULL,"Jon Snow",NULL,"has",NULL,NULL,NULL,"0:08:08",NULL,"Blackwater Bay",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:08:43"
NULL,NULL,NULL,NULL,"King",NULL,"Davos Seaworth",NULL,"has",NULL,NULL,NULL,"0:08:43",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:08:47"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jorah Mormont",NULL,"has",NULL,NULL,NULL,"0:08:47",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:09:23"
NULL,NULL,NULL,NULL,"King",NULL,"Missandei",NULL,"has",NULL,NULL,NULL,"0:09:23",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:09:57"
NULL,NULL,NULL,NULL,"Hand",NULL,"Sandor Clegane",NULL,"has",NULL,NULL,NULL,"0:09:57",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:10:44"
NULL,NULL,NULL,NULL,"King",NULL,"Cersei Lannister",NULL,"has",NULL,NULL,NULL,"0:10:44",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:11:03"
NULL,NULL,NULL,NULL,"King",NULL,"Qyburn",NULL,"has",NULL,NULL,NULL,"0:11:03",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:11:06"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jaime Lannister",NULL,"has",NULL,NULL,NULL,"0:11:06",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:11:59"
NULL,NULL,NULL,NULL,"King",NULL,"Gregor Clegane",NULL,"has",NULL,NULL,NULL,"0:11:59",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:13:20"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"0:13:20",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:13:31"
NULL,NULL,NULL,NULL,"King",NULL,"Jon Snow",NULL,"has",NULL,NULL,NULL,"0:13:31",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:14:40"
NULL,NULL,NULL,NULL,"King",NULL,"Davos Seaworth",NULL,"has",NULL,NULL,NULL,"0:14:40",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:15:18"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jorah Mormont",NULL,"has",NULL,NULL,NULL,"0:15:18",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:16:51"
NULL,NULL,NULL,NULL,"King",NULL,"Missandei",NULL,"has",NULL,NULL,NULL,"0:16:51",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:17:21"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Lord Varys",NULL,"has",NULL,NULL,NULL,"0:17:21",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:18:33"
NULL,NULL,NULL,NULL,"Hand",NULL,"Theon Greyjoy",NULL,"has",NULL,NULL,NULL,"0:18:33",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:22:09"
NULL,NULL,NULL,NULL,"King",NULL,"Qhono",NULL,"has",NULL,NULL,NULL,"0:22:09",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:26:37"
NULL,NULL,NULL,NULL,"King",NULL,"Sandor Clegane",NULL,"has",NULL,NULL,NULL,"0:26:37",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:29:14"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"0:29:14",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:31:22"
NULL,NULL,NULL,NULL,"King",NULL,"Jon Snow",NULL,"has",NULL,NULL,NULL,"0:31:22",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:31:42"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Davos Seaworth",NULL,"has",NULL,NULL,NULL,"0:31:42",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:32:58"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jorah Mormont",NULL,"has",NULL,NULL,NULL,"0:32:58",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:38:20"
NULL,NULL,NULL,NULL,"King",NULL,"Missandei",NULL,"has",NULL,NULL,NULL,"0:38:20",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:41:02"
NULL,NULL,NULL,NULL,"King",NULL,"Lord Varys",NULL,"has",NULL,NULL,NULL,"0:41:02",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:41:21"
NULL,NULL,NULL,NULL,"Hand",NULL,"Theon Greyjoy",NULL,"has",NULL,NULL,NULL,"0:41:21",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:42:28"
NULL,NULL,NULL,NULL,"King",NULL,"Qhono",NULL,"has",NULL,NULL,NULL,"0:42:28",NULL,"Outside Winterfell",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The North",NULL,"0:42:36"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Sandor Clegane",NULL,"has",NULL,NULL,NULL,"0:42:36",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The North",NULL,"0:46:05"
NULL,NULL,NULL,NULL,"Hand",NULL,"Bronn",NULL,"has",NULL,NULL,NULL,"0:46:05",NULL,"Dragonstone",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:46:10"
NULL,NULL,NULL,NULL,"King",NULL,"Podrick Payne",NULL,"has",NULL,NULL,NULL,"0:46:10",NULL,"Dragonstone",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:47:29"
NULL,NULL,NULL,NULL,"King",NULL,"Brienne of Tarth",NULL,"has",NULL,NULL,NULL,"0:47:29",NULL,"Dragonstone",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Crownlands",NULL,"0:47:53"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"0:47:53",NULL,"Dragonstone",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"0:51:19"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Bronn",NULL,"has",NULL,NULL,NULL,"0:51:19",NULL,"Dragonstone",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"0:55:32"
NULL,NULL,NULL,NULL,"Hand",NULL,"Podrick Payne",NULL,"has",NULL,NULL,NULL,"0:55:32",NULL,"Dragonstone",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"0:55:39"
NULL,NULL,NULL,NULL,"King",NULL,"Sandor Clegane",NULL,"has",NULL,NULL,NULL,"0:55:39",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The North",NULL,"0:56:07"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Brienne of Tarth",NULL,"has",NULL,NULL,NULL,"0:56:07",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The North",NULL,"1:01:47"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"1:01:47",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"1:02:16"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jon Snow",NULL,"has",NULL,NULL,NULL,"1:02:16",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"1:02:35"
NULL,NULL,NULL,NULL,"Hand",NULL,"Davos Seaworth",NULL,"has",NULL,NULL,NULL,"1:02:35",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"1:05:33"
NULL,NULL,NULL,NULL,"King",NULL,"Jorah Mormont",NULL,"has",NULL,NULL,NULL,"1:05:33",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"1:07:06"
NULL,NULL,NULL,NULL,"King",NULL,"Missandei",NULL,"has",NULL,NULL,NULL,"1:07:06",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Longclaw",NULL,"The Crownlands",NULL,"1:07:46"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Lord Varys",NULL,"has",NULL,NULL,NULL,"1:07:46",NULL,"Outside King's Landing",NULL,NULL,NULL,NULL,"Dragonglass",NULL,"The Crownlands",NULL,"1:07:56"
NULL,NULL,NULL,NULL,"Hand",NULL,"Theon Greyjoy",NULL,"has",NULL,NULL,NULL,"1:07:56",NULL,"King's Landing",NULL,NULL,NULL,NULL,"Oathkeeper",NULL,"The Crownlands",NULL,"1:08:21"
NULL,NULL,NULL,NULL,"King",NULL,"Qhono",NULL,"has",NULL,NULL,NULL,"1:08:21",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The North",NULL,"1:08:28"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Sandor Clegane",NULL,"has",NULL,NULL,NULL,"1:08:28",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Needle",NULL,"The North",NULL,"1:08:36"
NULL,NULL,NULL,NULL,"Hand",NULL,"Bronn",NULL,"has",NULL,NULL,NULL,"1:08:36",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Valyrian Steel Dagger",NULL,"The North",NULL,"1:10:57"
NULL,NULL,NULL,NULL,"King",NULL,"Podrick Payne",NULL,"has",NULL,NULL,NULL,"1:10:57",NULL,"Tower of Joy",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"Dorne",NULL,"1:11:27"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Brienne of Tarth",NULL,"has",NULL,NULL,NULL,"1:11:27",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Narrow Sea",NULL,"1:11:41"
NULL,NULL,NULL,NULL,"King",NULL,"Sandor Clegane",NULL,"has",NULL,NULL,NULL,"1:11:41",NULL,"Winterfell",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Narrow Sea",NULL,"1:12:01"
NULL,NULL,NULL,NULL,"Hand",NULL,"Tyrion Lannister",NULL,"has",NULL,NULL,NULL,"1:12:01",NULL,"Eastwatch",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"The Narrow Sea",NULL,"1:12:11"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Jon Snow",NULL,"has",NULL,NULL,NULL,"1:12:11",NULL,"Eastwatch",NULL,NULL,NULL,NULL,"Widow's Wail",NULL,"Dorne",NULL,"1:12:31"
NULL,NULL,NULL,NULL,"Hand",NULL,"Davos Seaworth",NULL,"has",NULL,NULL,NULL,"1:12:31",NULL,"The Wall",NULL,NULL,NULL,NULL,"Needle",NULL,"The Narrow Sea",NULL,"1:13:09"
NULL,NULL,NULL,NULL,"King",NULL,"Jorah Mormont",NULL,"has",NULL,NULL,NULL,"1:13:09",NULL,"Eastwatch",NULL,NULL,NULL,NULL,"Valyrian Steel Dagger",NULL,"The Narrow Sea",NULL,"1:13:20"
NULL,NULL,NULL,NULL,"King",NULL,"Missandei",NULL,NULL,NULL,NULL,NULL,"1:13:20",NULL,"The Wall",NULL,NULL,NULL,NULL,NULL,NULL,"The Narrow Sea",NULL,"1:13:28"
NULL,NULL,NULL,NULL,"King",NULL,"Lord Varys",NULL,NULL,NULL,NULL,NULL,"1:13:28",NULL,"Eastwatch",NULL,NULL,NULL,NULL,NULL,NULL,"The North",NULL,"1:15:23"
NULL,NULL,NULL,NULL,"King",NULL,"Theon Greyjoy",NULL,NULL,NULL,NULL,NULL,"1:15:23",NULL,"The Wall",NULL,NULL,NULL,NULL,NULL,NULL,"The North",NULL,"1:15:47"
NULL,NULL,NULL,NULL,"King",NULL,"Qhono",NULL,NULL,NULL,NULL,NULL,"1:15:47",NULL,"Eastwatch",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"1:16:13"
NULL,NULL,NULL,NULL,"King",NULL,"Sandor Clegane",NULL,NULL,NULL,NULL,NULL,"1:16:13",NULL,"The Wall",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"1:16:46"
NULL,NULL,NULL,NULL,"King",NULL,"Bronn",NULL,NULL,NULL,NULL,NULL,"1:16:46",NULL,"Eastwatch",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"1:16:49"
NULL,NULL,NULL,NULL,"King",NULL,"Podrick Payne",NULL,NULL,NULL,NULL,NULL,"1:16:49",NULL,"The Wall",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"1:16:52"
NULL,NULL,NULL,NULL,"King",NULL,"Brienne of Tarth",NULL,NULL,NULL,NULL,NULL,"1:16:52",NULL,"Eastwatch",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"1:16:55"
NULL,NULL,NULL,NULL,"Khaleesi",NULL,"Tyrion Lannister",NULL,NULL,NULL,NULL,NULL,"1:16:55",NULL,"The Wall",NULL,NULL,NULL,NULL,NULL,NULL,"The Wall",NULL,"1:16:59"
NULL,NULL,NULL,NULL,"Hand",NULL,"Jon Snow",NULL,NULL,NULL,NULL,NULL,"1:16:59",NULL,"Eastwatch",NULL,NULL,NULL,NULL,NULL,NULL,"North of the Wall",NULL,"1:17:21"
